,Armor,Armor Value,Config,Engine Size,Engine Type,Era,Heat Sinks,Mass,Myomer,Name,Rules Level,Source,Speeds,Structure,TechBase,Variant,Weapons
Locust LCT-3M,Ferro-Fibrous(Inner Sphere),53,Biped,160, Fusion Engine(IS),3050,10 Single,20,Standard,Locust,2,Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,LCT-3M,"['6', ['Small Laser, Left Arm', 'Small Laser, Left Arm', 'AMS, Left Arm', 'Small Laser, Right Arm', 'Small Laser, Right Arm', 'Medium Laser, Center Torso']]"
Locust LCT-3S,Ferro-Fibrous(Inner Sphere),44,Biped,160, Fusion Engine(IS),3049,10 Single,20,Standard,Locust,2,Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,LCT-3S,"['3', ['Streak SRM 2, Left Arm', 'Streak SRM 2, Right Arm', 'Medium Laser, Center Torso']]"
Locust LCT-3V,Standard(Inner Sphere),56,Biped,160, Fusion Engine,3004,10 Single,20,Standard,Locust,1,TRO 3039 - Succession Wars,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-3V,"['4', ['Medium Laser, Center Torso', 'Medium Laser, Center Torso', 'Machine Gun, Right Arm', 'Machine Gun, Left Arm']]"
Locust LCT-5M,Ferro-Fibrous(Inner Sphere),69,Biped,240, XL Engine,3066,10 Single,20,Standard,Locust,2,Civil War,"{'Walk': 12, 'Run': 18, 'Jump': '0'}",Endo Steel,Inner Sphere,LCT-5M,"['5', ['ER Small Laser, Left Arm', 'ER Small Laser, Left Arm', 'ER Small Laser, Right Arm', 'ER Small Laser, Right Arm', 'ER Medium Laser, Center Torso']]"
Locust LCT-5T,Ferro-Fibrous(Inner Sphere),69,Biped,160, XL Engine,3070,10 Single,20,Standard,Locust,2,Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-5T,"['9', ['Light Machine Gun, Left Arm', 'Light Machine Gun, Left Arm', 'Light Machine Gun, Left Arm', 'Light Machine Gun Array, Left Arm', 'Light Machine Gun, Right Arm', 'Light Machine Gun, Right Arm', 'Light Machine Gun, Right Arm', 'Light Machine Gun Array, Right Arm', 'ER Medium Laser, Center Torso']]"
Locust LCT-5V,Ferro-Fibrous(Inner Sphere),69,Biped,160, Fusion Engine,3068,10 Double,20,Standard,Locust,2,Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-5V,"['4', ['Rocket Launcher 10, Left Arm', 'Rocket Launcher 10, Right Arm', 'ER Medium Laser, Center Torso', 'ER Medium Laser, Center Torso']]"
Locust LCT-5W,Light Ferro-Fibrous(Inner Sphere),67,Biped,180, XL Engine(IS),3076,10 Double,20,Standard,Locust,2,Jihad,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Inner Sphere,LCT-5W,"['3', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'TAG, Center Torso']]"
Locust LCT-5W2,Light Ferro-Fibrous(Inner Sphere),67,Biped,180, XL Engine(IS),3079,10 Double,20,Standard,Locust,2,Jihad,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Inner Sphere,LCT-5W2,"['3', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'TAG, Center Torso']]"
Locust LCT-6M,Ferro-Fibrous(Inner Sphere),69,Biped,280, XL Engine,3071,10 Double,20,Standard,Locust,2,Jihad,"{'Walk': 14, 'Run': 21, 'Jump': '0'}",Endo Steel,Inner Sphere,LCT-6M,"['3', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Small Laser, Head']]"
Fireball ALM-10D,Heavy Ferro-Fibrous(Inner Sphere),69,Biped,220, XL Engine,3076,10 Single,20,Standard,Fireball,2,Jihad,"{'Walk': 11, 'Run': 17, 'Jump': '0'}",Endo Steel,Inner Sphere,ALM-10D,"['3', ['ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'ER Small Laser, Right Arm']]"
Fireball ALM-7D,Standard(Inner Sphere),64,Biped,220, XL Engine,3053,10 Single,20,Standard,Fireball,2,TRO 3055 - Clan Invasion,"{'Walk': 11, 'Run': 17, 'Jump': '0'}",Endo Steel,Inner Sphere,ALM-7D,"['2', ['Streak SRM 2, Left Torso', 'Machine Gun, Right Torso']]"
Fireball ALM-8D,Standard(Inner Sphere),69,Biped,220, XL Engine,3054,10 Single,20,Standard,Fireball,2,TRO 3055 - Clan Invasion,"{'Walk': 11, 'Run': 17, 'Jump': '0'}",Endo Steel,Inner Sphere,ALM-8D,"['3', ['Medium Laser, Left Torso', 'Medium Laser, Left Torso', 'Machine Gun, Right Torso']]"
Fireball ALM-9D,Standard(Inner Sphere),69,Biped,220, XL Engine,3054,10 Single,20,Standard,Fireball,2,TRO 3055 - Clan Invasion,"{'Walk': 11, 'Run': 17, 'Jump': '0'}",Endo Steel,Inner Sphere,ALM-9D,"['2', ['Streak SRM 2, Left Torso', 'Medium Laser, Right Torso']]"
Flea Fire Ant,Standard,40,Biped,120, Fusion Engine,3063,10 Single,20,MASC,Flea,2,TRO 3050 - Civil War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,'Fire Ant',"['5', ['3 ISMachine Gun, Right Arm, Ammo:100', '3 ISMachine Gun, Left Arm', '1 ISFlamer, Right Torso', '1 ISFlamer, Left Torso', '1 ISFlamer, Head']]"
Flea FLE-4,Standard(Inner Sphere),32,Biped,120, Fusion Engine,2501,10 Single,20,Standard,Flea,1,TRO 3039 - Age of War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,FLE-4,"['4', ['Large Laser, Right Arm', 'Small Laser, Left Arm', 'Small Laser, Left Arm', 'Flamer, Center Torso']]"
Flea FLE-20,Stealth,40,Biped,120, Fusion Engine,3071,10 Double,20,MASC,Flea,2,TRO 3050 - Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,FLE-20,"['4', ['1 ISERMediumLaser, Right Arm', '1 ISERMediumLaser, Left Arm', '1 ISGuardianECM, Right Torso', '1 ISLightPPC, Left Torso']]"
Flea FLE-19,Standard,48,Biped,120, Fusion Engine,3068,10 Single,20,Standard,Flea,2,TRO 3050 - Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,FLE-19,"['6', ['1 ISRocketLauncher10, Right Torso', '1 ISFlamer, Center Torso', '4 ISLightMG, Right Arm, Ammo:100', '1 ISLMGA, Right Arm', '4 ISLightMG, Left Arm', '1 ISLMGA, Left Arm']]"
Flea FLE-15,Standard(Inner Sphere),48,Biped,120, Fusion Engine,2523,10 Single,20,Standard,Flea,1,TRO 3039 - Age of War,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,FLE-15,"['7', ['Medium Laser, Right Arm', 'Medium Laser, Left Arm', 'Machine Gun, Left Arm', 'Machine Gun, Right Arm', 'Flamer, Center Torso', 'Small Laser, Left Torso', 'Small Laser, Right Torso']]"
Locust LCT-1V,Standard(Inner Sphere),64,Biped,160, Fusion Engine,2499,10 Single,20,Standard,Locust,1,TRO 3039 - Age of War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-1V,"['3', ['Medium Laser, Center Torso', 'Machine Gun, Left Arm', 'Machine Gun, Right Arm']]"
Locust LCT-1S,Standard(Inner Sphere),48,Biped,160, Fusion Engine,2567,10 Single,20,Standard,Locust,1,TRO 3039 - Age of War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-1S,"['3', ['Medium Laser, Center Torso', 'SRM 2, Left Arm', 'SRM 2, Right Arm']]"
Stinger STG-3G,Standard(Inner Sphere),64,Biped,120, Fusion Engine,2581,10 Single,20,Standard,Stinger,1,TRO 3039 - Star League,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Standard,Inner Sphere,STG-3G,"['2', ['Medium Laser, Right Arm', 'Medium Laser, Left Arm']]"
Porcupine PRC-1N,Ferro-Fibrous(Inner Sphere),62,Biped,180, XL Engine,3063,10 Single,20,Standard,Porcupine,4,TRO 3055 - Civil War,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Inner Sphere,PRC-1N,"['4', ['Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'Medium Laser, Left Torso', 'Medium Laser, Right Torso']]"
Piranha 2,Standard(Clan),64,Biped,180, XL (Clan) Engine,3067,11 Double,20,Standard,Piranha,2,TRO 3058 - Civil War,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Clan,2,"['15', ['Heavy Medium Laser, Left Arm', 'Heavy Medium Laser, Right Arm', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso', 'Heavy Small Laser, Center Torso']]"
Red Shift RDS-2B,Ferro-Fibrous,69,Biped,180, XL Engine,3063,10 Double,20,Standard,Red Shift,2,,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Inner Sphere,RDS-2B,"['4', ['1 ISMediumPulseLaser, Right Arm', '1 ISMediumPulseLaser, Left Arm', '1 ISBeagleActiveProbe, Center Torso', '1 ISTAG, Head']]"
Red Shift RDS-2A,Ferro-Fibrous,69,Biped,180, XL Engine,3062,10 Double,20,Standard,Red Shift,2,,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Inner Sphere,RDS-2A,"['4', ['1 ISMediumPulseLaser, Right Arm', '1 ISMediumPulseLaser, Left Arm', '1 ISGuardianECM, Center Torso', '1 ISTAG, Head']]"
Piranha 3,Standard(Clan),64,Biped,180, XL (Clan) Engine,3068,10 Double,20,Standard,Piranha,2,TRO 3058 - Jihad,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Clan,3,"['12', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'Micro Pulse Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'ER Micro Laser, Left Torso', 'Micro Pulse Laser, Right Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso', 'ER Micro Laser, Right Torso']]"
Piranha 4,Standard(Clan),64,Biped,180, XL (Clan) Engine,3072,10 Single,20,Standard,Piranha,2,Jihad,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Clan,4,"['12', ['ER Medium Laser, Right Arm', 'ER Medium Laser, Left Arm', 'Light Machine Gun, Right Torso', 'Light Machine Gun, Right Torso', 'Light Machine Gun, Right Torso', 'Light Machine Gun, Right Torso', 'Light Machine Gun Array, Right Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun Array, Left Torso']]"
Locust LCT-1E,Standard(Inner Sphere),64,Biped,160, Fusion Engine,2811,10 Single,20,Standard,Locust,1,TRO 3039 - Succession Wars,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-1E,"['4', ['Medium Laser, Right Arm', 'Medium Laser, Left Arm', 'Small Laser, Right Arm', 'Small Laser, Left Arm']]"
Piranha,Standard(Clan),64,Biped,180, XL (Clan) Engine,3051,10 Single,20,Standard,Piranha,2,TRO 3058 - Clan Invasion,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Clan,(Standard),"['15', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Left Torso', 'Machine Gun, Right Torso', 'Machine Gun, Right Torso', 'Machine Gun, Right Torso', 'Machine Gun, Right Torso', 'Machine Gun, Right Torso', 'Machine Gun, Right Torso', 'ER Small Laser, Center Torso']]"
Locust LCT-1M,Standard(Inner Sphere),16,Biped,160, Fusion Engine,2571,10 Single,20,Standard,Locust,1,TRO 3039 - Star League,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-1M,"['3', ['Medium Laser, Center Torso', 'LRM 5, Left Arm', 'LRM 5, Right Arm']]"
Locust LCT-1L,Standard(Inner Sphere),64,Biped,160, Fusion Engine,3030,10 Single,20,Triple-Strength,Locust,2,TRO 3039 - Succession Wars,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Inner Sphere,LCT-1L,"['3', ['Medium Laser, Center Torso', 'Machine Gun, Left Arm', 'Machine Gun, Right Arm']]"
Thorn THE-T,Standard(Inner Sphere),64,Biped,120, Fusion Engine,3038,10 Single,20,Standard,Thorn,1,TRO 3039 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,THE-T,"['3', ['Medium Laser, Head', 'Medium Laser, Left Arm', 'SRM 4, Right Arm']]"
Thorn THE-S,Standard(Inner Sphere),64,Biped,120, Fusion Engine,3035,10 Single,20,Standard,Thorn,1,TRO 3039 - Succession Wars,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Standard,Inner Sphere,THE-S,"['3', ['Medium Laser, Head', 'Medium Laser, Left Arm', 'LRM 5, Right Arm']]"
Thorn THE-Nb,Standard Armor,69,Biped,120, XL Engine,2743,10 Double,20,ISMASC,Thorn,2,,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo-Steel,Inner Sphere,THE-Nb,"['3', ['1 ISMediumLaser, Right Arm', '1 ISERLargeLaser, Right Arm', '1 ISSmallLaser, Head']]"
Thorn THE-N2,Standard,69,Biped,120, XL Engine,3071,10 Double,20,Standard,Thorn,2,TRO 3050 - Jihad,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,THE-N2,"['2', ['1 ISMML7, Right Arm, Ammo:31', '1 ISERSmallLaser, Head']]"
Thorn THE-N1,Standard Armor,69,Biped,120, XL Engine,3051,10 Double,20,Standard,Thorn,2,TRO 3050 - Clan Invasion,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,THE-N1,"['2', ['1 ISERPPC, Right Arm', '1 ISSmallLaser, Head']]"
Red Shift RDS-3A,Ferro-Fibrous,69,Biped,180, XL Fusion Engine,3068,10 Double,20,Standard,Red Shift,2,,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo-Steel,Inner Sphere,RDS-3A,"['5', ['1 ISImprovedC3CPU, Center Torso', '1 ISERMediumLaser, Left Arm', '1 ISERMediumLaser, Left Arm', '1 ISERMediumLaser, Right Arm', '1 ISERMediumLaser, Right Arm']]"
Kabuto KBO-7A,Standard(Inner Sphere),69,Biped,140, XL Engine,3059,10 Single,20,Standard,Kabuto,2,TRO 3060,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo Steel,Inner Sphere,KBO-7A,"['2', ['Streak SRM 4, Left Torso', 'Streak SRM 4, Right Torso']]"
Kabuto KBO-7B,Standard(Inner Sphere),69,Biped,140, XL Engine,3068,11 Single,20,Standard,Kabuto,2,TRO 3060,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Endo Steel,Inner Sphere,KBO-7B,"['2', ['Light PPC, Left Torso', 'Light PPC, Right Torso']]"
Koshi (Mist Lynx) C,Ferro-Fibrous(Clan),67,Biped Omnimech,175, XL (Clan) Engine(IS),2926,s Heat Sinks:7,25,Standard,Koshi (Mist Lynx),2,TRO 3050 - Succession Wars,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Clan Endo Steel,Clan,C,"['3', ['AMS, Left Arm', 'ER Large Laser, Right Arm', 'ER Medium Laser, Right Arm']]"
Koshi (Mist Lynx) D,Ferro-Fibrous(Clan),67,Biped Omnimech,175, XL (Clan) Engine(IS),2926,s Heat Sinks:7,25,Standard,Koshi (Mist Lynx),2,TRO 3050 - Succession Wars,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Clan Endo Steel,Clan,D,"['3', ['Ultra AC/2, Left Arm', 'ER Medium Laser, Right Arm', 'ER Small Laser, Right Arm']]"
Koshi (Mist Lynx) B,Ferro-Fibrous(Clan),67,Biped Omnimech,175, XL (Clan) Engine(IS),2926,s Heat Sinks:7,25,Standard,Koshi (Mist Lynx),2,TRO 3050 - Succession Wars,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Clan Endo Steel,Clan,B,"['5', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Left Arm', 'SRM 6, Right Arm', 'SRM 6, Right Arm', 'ER Small Laser, Right Arm']]"
Koshi (Mist Lynx) E,Ferro-Fibrous(Clan),67,Biped Omnimech,175, XL (Clan) Engine(IS),3054,s Heat Sinks:7,25,Standard,Koshi (Mist Lynx),2,TRO 3050 - Clan Invasion,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Clan Endo Steel,Clan,E,"['5', ['ATM 6, Left Arm', 'ER Small Laser, Right Arm', 'ER Small Laser, Right Arm', 'ER Small Laser, Right Arm', 'ER Small Laser, Right Arm']]"
Koshi (Mist Lynx) F,Ferro-Fibrous(Clan),67,Biped Omnimech,175, XL (Clan) Engine(IS),3063,s Heat Sinks:7,25,Standard,Koshi (Mist Lynx),2,TRO 3050 - Civil War,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Clan Endo Steel,Clan,F,"['8', ['Heavy Medium Laser, Left Arm', 'Heavy Small Laser, Left Arm', 'Heavy Small Laser, Left Arm', 'Light TAG, Left Arm', 'Heavy Medium Laser, Right Arm', 'Heavy Medium Laser, Right Arm', 'Heavy Small Laser, Right Arm', 'Heavy Small Laser, Right Arm']]"
Tarantula ZPH-1A,Standard(Inner Sphere),72,Quad,200, XL Engine,3054,10 Double,25,Standard,Tarantula,2,TRO 3055 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Standard,Inner Sphere,ZPH-1A,"['3', ['Medium Laser, Left Torso', 'Medium Laser, Right Torso', 'Streak SRM 2, Center Torso']]"
Koshi (Mist Lynx) A,Ferro-Fibrous(Clan),67,Biped Omnimech,175, XL (Clan) Engine(IS),2926,s Heat Sinks:7,25,Standard,Koshi (Mist Lynx),2,TRO 3050 - Succession Wars,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Clan Endo Steel,Clan,A,"['6', ['Clan TAG, Left Arm', 'AMS, Left Arm', 'AMS, Left Arm', 'Flamer, Right Arm', 'Machine Gun, Right Arm', 'Machine Gun, Right Arm']]"
Jackrabbit JKR-9R,Ferro-Fibrous,80,Biped,150, Fusion Engine,2768,11 Single,25,Standard,Jackrabbit,2,TRO 3075,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,JKR-9R 'Joker',"['2', ['Large Laser, Right Arm', 'Streak SRM 2, Left Arm']]"
Jackrabbit JKR-9W,Ferro-Fibrous(Inner Sphere),62,Biped,150, Fusion Engine,3074,10 Single,25,Standard,Jackrabbit,2,TRO 3075,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,JKR-9W,"['3', ['Streak SRM 2, Left Arm', 'Light Auto Cannon/5, Right Arm', 'ER Medium Laser, Right Torso']]"
Bear Cub 3,Standard(Clan),72,Biped,200, XL (Clan) Engine,3071,12 Single,25,Standard,Bear Cub,2,TRO 3075,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Standard,Clan,3,"['5', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'LRM 5, Left Torso', 'LRM 5, Right Torso', 'ER Small Laser, Center Torso']]"
Koshi (Mist Lynx) G,Ferro-Fibrous(Clan),67,Biped Omnimech,175, XL (Clan) Engine(IS),3068,s Heat Sinks:7,25,Standard,Koshi (Mist Lynx),2,TRO 3050 - Jihad,"{'Walk': 7, 'Run': 11, 'Jump': '6'}",Clan Endo Steel,Clan,G,"['14', ['ER Small Laser, Left Leg', 'ER Small Laser, Right Leg', 'ER Small Laser, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun, Left Arm', 'Heavy Machine Gun Array, Left Arm', 'ER Small Laser, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun, Right Arm', 'Heavy Machine Gun Array, Right Arm']]"
Mongoose MON-66b,Ferro-Fibrous,89,Biped,200, XL Engine,2740,10 Double,25,Standard,Mongoose,2,TRO 3075,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,MON-66b,"['4', ['ER Large Laser, Center Torso', 'Medium Laser, Left Arm', 'Medium Laser, Right Arm', 'Small Laser, Head']]"
Mongoose MON-86,Ferro-Fibrous(Inner Sphere),89,Biped,225, XL Engine,3078,10 Single,25,Standard,Mongoose,2,Jihad,"{'Walk': 9, 'Run': 14, 'Jump': '0'}",Endo Steel,Inner Sphere,MON-86,"['5', ['Light PPC, Center Torso', 'Medium Laser, Right Arm', 'Medium Laser, Left Arm', 'Small Laser, Head', 'ER Small Laser, Right Torso']]"
Mongoose MON-68,Standard(Inner Sphere),88,Biped,175, Fusion Engine,3039,10 Single,25,Standard,Mongoose,1,TRO 3039 - Succession Wars,"{'Walk': 7, 'Run': 11, 'Jump': '0'}",Standard,Inner Sphere,MON-68,"['1', ['Large Laser, Right Arm']]"
Tarantula ZPH-3A,Standard(Inner Sphere),97,Quad,200, XL Engine,3063,10 Double,25,Standard,Tarantula,2,TRO 3055 - Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '7'}",Endo Steel,Inner Sphere,ZPH-3A,"['2', ['Medium Pulse Laser, Left Torso', 'Medium Pulse Laser, Right Torso']]"
Tarantula ZPH-4A,Standard(Inner Sphere),80,Quad,200, XL Engine,3066,10 Double,25,Standard,Tarantula,2,TRO 3055 - Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,ZPH-4A,"['1', ['ER PPC, Left Torso']]"
Brigand LDT-1,Standard Armor,64,Biped,150, Fusion Engine,3065,10 Double,25,Standard,Brigand,2,,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,LDT-1,"['4', ['1 ISERMediumLaser, Right Arm', '1 ISERMediumLaser, Left Arm', '1 ISMediumPulseLaser, Right Torso', '1 ISMediumPulseLaser, Left Torso']]"
Brigand LDT-X1,Standard Armor,64,Biped,150, Fusion Engine,3066,10 Double,25,Standard,Brigand,2,,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,LDT-X1,"['6', ['1 ISMediumLaser, Right Arm', '1 ISMediumLaser, Left Arm', '1 ISERMediumLaser, Right Torso', '1 ISMediumLaser, Right Torso', '1 ISERMediumLaser, Left Torso', '1 ISMediumLaser, Left Torso']]"
Brigand LDT-X2,Standard Armor,64,Biped,150, Fusion Engine,3066,10 Double,25,Standard,Brigand,2,,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,LDT-X2,"['4', ['1 ISERMediumLaser, Right Arm', '2 ISRocketLauncher15, Right Arm', '1 ISERMediumLaser, Left Arm', '2 ISRocketLauncher15, Left Arm']]"
Brigand LDT-X3,Standard(Inner Sphere),72,Biped,150, XL Engine(IS),3075,10 Double,25,Standard,Brigand,2,TRO:3067 Unabridged,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",Endo Steel,Inner Sphere,LDT-X3,"['4', ['Light PPC, Left Arm', 'Light PPC, Right Arm', 'Flamer, Left Torso', 'Flamer, Right Torso']]"
Brigand LDT-X4,Standard(Inner Sphere),80,Biped,150, Light Engine(IS),3078,10 Double,25,Triple-Strength,Brigand,2,3067 Unabridged,"{'Walk': 6, 'Run': 9, 'Jump': '6'}",IS Endo Steel,Inner Sphere,LDT-X4,"['4', ['ER Medium Laser, Left Arm', 'Light PPC, Right Arm', 'ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso']]"
Icestorm,Standard(Clan),56,Biped,300, XL (Clan) Engine,2830,10 Single,25,Standard,Icestorm,2,TRO 3060,"{'Walk': 12, 'Run': 18, 'Jump': '0'}",Standard,Clan,(Standard),"['3', ['ER Medium Laser, Right Arm', 'Clan TAG, Center Torso', 'SRM 2, Head']]"
Nexus NXS1-B,Ferro-Fibrous(Inner Sphere),71,Biped,175, Fusion Engine,3062,10 Double,25,Standard,Nexus,2,TRO 3055 - Civil War,"{'Walk': 7, 'Run': 11, 'Jump': '5'}",Endo Steel,Inner Sphere,NXS1-B,"['3', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Small Laser, Center Torso']]"
Nexus II NXS2-B,Stealth(Inner Sphere),56,Biped,200, Light Engine,3067,10 Double,25,Standard,Nexus II,2,TRO 3055 - Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,NXS2-B,"['3', ['ER Medium Laser, Left Arm', 'ER Medium Laser, Right Arm', 'TAG, Head']]"
Icestorm 2,Ferro-Fibrous(Clan),67,Biped,300, XL (Clan) Engine,3068,10 Double,25,Standard,Icestorm,3,TRO 3060,"{'Walk': 12, 'Run': 18, 'Jump': '0'}",Standard,Clan,2,"['4', ['Heavy Medium Laser, Right Arm', 'Heavy Medium Laser, Right Torso', 'Clan Light TAG, Center Torso', 'ER Flamer, Head']]"
Jackrabbit JKR-8T,Ferro-Fibrous,62,Biped,150, Fusion Engine,2765,10 Single,25,Standard,Jackrabbit,2,TRO 3075,"{'Walk': 6, 'Run': 9, 'Jump': '0'}",Endo Steel,Inner Sphere,JKR-8T,"['2', ['Autocannon/2, Right Arm', 'Streak SRM 2, Left Arm']]"
Nexus II NXS2-A,Standard(Inner Sphere),56,Biped,200, Light Engine,3066,10 Double,25,Standard,Nexus II,2,TRO 3055 - Civil War,"{'Walk': 8, 'Run': 12, 'Jump': '6'}",Endo Steel,Inner Sphere,NXS2-A,"['4', ['ER Medium Laser, Left Arm', 'ER Small Laser, Left Arm', 'ER Medium Laser, Right Arm', 'ER Small Laser, Right Arm']]"
Tarantula ZPH-2A,Standard(Inner Sphere),72,Quad,200, XL Engine,3060,10 Double,25,Standard,Tarantula,2,TRO 3055 - Clan Invasion,"{'Walk': 8, 'Run': 12, 'Jump': '8'}",Standard,Inner Sphere,ZPH-2A,"['3', ['ER Medium Laser, Left Torso', 'ER Medium Laser, Right Torso', 'Streak SRM 2, Center Torso']]"
Mongoose MON-76,Ferro-Fibrous,89,Biped,200, XL Engine,3077,10 Double,25,MASC,Mongoose,2,TRO 3050 - Jihad,"{'Walk': 8, 'Run': 12, 'Jump': '0'}",Endo Steel,Inner Sphere,MON-76,"['5', ['1 ISMediumPulseLaser, Right Arm', '1 ISMediumPulseLaser, Left Arm', '1 ISGuardianECM, Left Torso', '1 ISMediumPulseLaser, Center Torso', '1 ISSmallLaser, Head']]"
